Date,Open,High,Low,Close,Adj Close,Volume
"May 22, 2022",3919.42,4158.49,3875.13,4158.24,4158.24,23231370000
"May 15, 2022",4013.02,4090.72,3810.32,3901.36,3901.36,24603940000
"May 08, 2022",4081.27,4081.27,3858.87,4023.89,4023.89,29126270000
"May 01, 2022",4130.61,4307.66,4062.51,4123.34,4123.34,25076170000
"Apr 24, 2022",4255.34,4308.45,4124.28,4131.93,4131.93,24637900000
"Apr 17, 2022",4385.63,4512.94,4267.62,4271.78,4271.78,21597890000
"Apr 10, 2022",4462.64,4471.0,4381.34,4392.59,4392.59,16329620000
"Apr 03, 2022",4547.97,4593.45,4450.04,4488.28,4488.28,23239490000
"Mar 27, 2022",4541.09,4637.3,4507.57,4545.86,4545.86,23169700000
"Mar 20, 2022",4462.4,4546.03,4424.3,4543.06,4543.06,22611740000
"Mar 13, 2022",4202.75,4465.4,4161.72,4463.12,4463.12,30540660000
"Mar 07, 2022",4327.01,4327.01,4157.87,4204.31,4204.31,29765730000
"Feb 28, 2022",4354.17,4416.78,4279.54,4328.87,4328.87,28092740000
"Feb 21, 2022",4332.74,4385.34,4114.65,4384.65,4384.65,21848520000
"Feb 14, 2022",4412.61,4489.55,4327.22,4348.87,4348.87,22562340000
"Feb 07, 2022",4505.75,4590.03,4401.41,4418.64,4418.64,23778810000
"Jan 31, 2022",4431.79,4595.31,4414.02,4500.53,4500.53,23505280000
"Jan 24, 2022",4356.32,4453.23,4222.62,4431.85,4431.85,27889090000
"Jan 17, 2022",4632.24,4632.24,4395.34,4397.94,4397.94,19444410000
"Jan 10, 2022",4655.34,4748.83,4582.24,4662.85,4662.85,21251840000
"Jan 03, 2022",4778.14,4818.62,4662.74,4677.03,4677.03,21878940000
"Dec 27, 2021",4733.99,4808.93,4733.99,4766.18,4766.18,14244290000
"Dec 20, 2021",4587.9,4740.74,4531.1,4725.79,4725.79,14940780000
"Dec 13, 2021",4710.3,4731.99,4600.22,4620.64,4620.64,26609380000
"Dec 06, 2021",4548.37,4713.57,4540.51,4712.02,4712.02,21271750000
"Nov 29, 2021",4628.75,4672.95,4495.12,4538.43,4538.43,26646380000
"Nov 22, 2021",4712.0,4743.83,4585.43,4594.62,4594.62,15654820000
"Nov 15, 2021",4689.3,4717.75,4672.78,4697.96,4697.96,19909710000
