Date	Open	High	Low	Close	Adj Close	Volume
Sep 12, 2021	4,474.81	4,492.99	4,427.76	4,432.99	4,432.99	22,890,790,000
Sep 05, 2021	4,535.38	4,535.38	4,457.66	4,458.58	4,458.58	14,932,410,000
Aug 29, 2021	4,513.76	4,545.85	4,513.76	4,535.43	4,535.43	18,470,230,000
Aug 22, 2021	4,450.29	4,513.33	4,450.29	4,509.37	4,509.37	17,595,630,000
Aug 15, 2021	4,461.65	4,480.26	4,367.73	4,441.67	4,441.67	19,014,210,000
Aug 08, 2021	4,437.77	4,468.37	4,424.74	4,468.00	4,468.00	17,260,230,000
Aug 01, 2021	4,406.86	4,440.82	4,373.00	4,436.52	4,436.52	19,171,320,000
Jul 25, 2021	4,409.58	4,429.97	4,372.51	4,395.26	4,395.26	20,734,210,000
Jul 18, 2021	4,296.40	4,415.18	4,233.13	4,411.79	4,411.79	21,304,580,000
Jul 11, 2021	4,372.41	4,393.68	4,322.53	4,327.16	4,327.16	18,977,190,000
Jul 04, 2021	4,356.46	4,371.60	4,289.37	4,369.55	4,369.55	16,225,570,000
Jun 27, 2021	4,284.90	4,355.43	4,274.67	4,352.34	4,352.34	19,135,150,000
Jun 20, 2021	4,173.40	4,286.12	4,173.40	4,280.70	4,280.70	22,845,800,000
Jun 13, 2021	4,248.31	4,257.16	4,164.40	4,166.45	4,166.45	24,868,180,000
Jun 06, 2021	4,229.34	4,249.74	4,208.41	4,247.44	4,247.44	22,073,020,000
May 30, 2021	4,216.52	4,234.12	4,167.93	4,229.89	4,229.89	20,636,100,000
May 23, 2021	4,170.16	4,218.36	4,170.16	4,204.11	4,204.11	23,343,500,000
May 16, 2021	4,169.92	4,188.72	4,061.41	4,155.86	4,155.86	20,744,780,000
May 09, 2021	4,228.29	4,236.39	4,056.88	4,173.85	4,173.85	22,952,900,000
May 02, 2021	4,191.98	4,238.04	4,128.59	4,232.60	4,232.60	21,280,680,000
Apr 25, 2021	4,185.03	4,218.78	4,174.85	4,181.17	4,181.17	19,845,940,000
Apr 18, 2021	4,179.80	4,194.17	4,118.38	4,180.17	4,180.17	19,855,210,000
Apr 11, 2021	4,124.71	4,191.31	4,114.82	4,185.47	4,185.47	19,506,210,000
Apr 04, 2021	4,034.44	4,129.48	4,034.44	4,128.80	4,128.80	19,754,600,000
Mar 28, 2021	3,969.31	4,020.63	3,943.25	4,019.87	4,019.87	17,489,870,000
Mar 21, 2021	3,916.48	3,978.19	3,853.50	3,974.54	3,974.54	24,199,790,000
Mar 14, 2021	3,942.96	3,983.87	3,886.75	3,913.10	3,913.10	26,950,850,000
Mar 08, 2021	3,844.39	3,960.27	3,819.25	3,943.34	3,943.34	27,021,810,000
